username,division,score,place,match_id
msg555,1,721.17,3,14159
chenhsi,2,904.15,3,14159
humblefool,1,690.37,4,14159
jjosi,2,873.02,4,14159
Delsius,1,686.1,5,14159
Satayev,2,774.77,5,14159
Burunduk1,1,1423.96,1,14234
ysyshtc,2,1350.89,1,14234
dzhulgakov,1,1251.04,2,14234
rohan_rock,2,1335.15,2,14234
LayCurse,1,1214.05,3,14234
yixi,2,1310.35,3,14234
rem,1,1196.7,4,14234
searcher768,2,1291.23,4,14234
wata,1,1164.6,5,14234
nikihub,2,1123.16,5,14234
ACRush,1,1156.19,1,14285
rng_58,1,1134.69,2,14285
liympanda,1,662.97,3,14285
tomekkulczynski,1,654.24,4,14285
gmark,1,445.67,5,14285
rng_58,1,1078.92,1,14287
ACRush,1,569.98,2,14287
Klinck,1,474.6,3,14287
PaulJefferys,1,381.91,4,14287
bmerry,1,374.1,5,14287
Burunduk1,1,1721.05,1,14236
Masa-Y,2,1570.11,1,14236
vlad89,1,1429.97,2,14236
ssakcaj,2,1538.49,2,14236
rem,1,1061.49,3,14236
matis,2,1521.75,3,14236
gmark,1,913.12,4,14236
IvanP,2,1472.0,4,14236
kcm1700,1,799.23,5,14236
tozangezan,2,1357.35,5,14236
dzhulgakov,1,466.51,1,14286
PaulJefferys,1,433.33,2,14286
Vasyl[alphacom],1,223.69,3,14286
syg96,1,187.81,4,14286
izulin,1,165.93,5,14286
tomek,1,1116.11,1,14237
ray_sun,2,1204.34,1,14237
Petr,1,671.93,2,14237
empathy,2,750.6,2,14237
jx_wuyi,1,643.72,3,14237
yupppie,2,745.73,3,14237
RAVEman,1,638.98,4,14237
zuko3d,2,743.77,4,14237
RAD.,1,633.28,5,14237
winterflame,2,731.54,5,14237
Petr,1,1175.57,1,14238
PasserbyA,2,1360.04,1,14238
lyrically,1,1087.37,2,14238
kodama,2,1170.9,2,14238
dzhulgakov,1,683.11,3,14238
ChnLiCh,2,1124.51,3,14238
tourist,1,587.62,4,14238
krunalmanik,2,957.65,4,14238
Burunduk1,1,554.75,5,14238
---Grigor---,2,907.84,5,14238
neal_wu,1,1155.71,1,14241
septem,2,520.53,1,14241
tsukuno,1,680.11,2,14241
Hamzawy,2,514.65,2,14241
pieguy,1,648.15,3,14241
Gareve,2,480.45,3,14241
Louty,1,615.9,4,14241
mohsen.pers,2,467.82,4,14241
rng_58,1,604.14,5,14241
kioa,2,457.85,5,14241
Rizvanov_de_xXx,1,1234.77,1,14244
VArtem,2,1262.35,1,14244
wata,1,1106.82,2,14244
wudired,2,1163.83,2,14244
UdH-WiNGeR,1,911.6,3,14244
wasi.ahmed,2,1148.46,3,14244
LayCurse,1,895.89,4,14244
Kriii,2,1139.3,4,14244
tourist,1,810.14,5,14244
riad,2,1059.91,5,14244
Petr,1,1312.13,1,14243
freak93,2,1112.32,1,14243
K.A.D.R,1,637.9,2,14243
AirCube,2,972.33,2,14243
jialin,1,629.09,3,14243
yjzju,2,854.91,3,14243
AdrianKuegel,1,625.46,4,14243
turbin,2,775.71,4,14243
rejudge,1,607.38,5,14243
tongcx,2,762.05,5,14243
Egor,1,1289.18,1,14242
adhaar,2,667.44,1,14242
pashka,1,1146.68,2,14242
litstrong,2,649.16,2,14242
wata,1,825.97,3,14242
1tthinking,2,626.43,3,14242
ainu7,1,822.97,4,14242
DryukAlex,2,598.13,4,14242
Mimino,1,818.74,5,14242
Ysman,2,596.24,5,14242
rng_58,1,1484.92,1,14240
jen,2,1345.31,1,14240
tourist,1,1262.32,2,14240
lukasz6500,2,1292.47,2,14240
neal_wu,1,1188.34,3,14240
Nodar,2,1147.74,3,14240
ahyangyi,1,1172.16,4,14240
Supaplex,2,1147.64,4,14240
ktuan,1,1158.76,5,14240
shavgula,2,1064.3,5,14240
Petr,1,1234.35,1,14423
nokul,2,696.41,1,14423
kubus,1,909.87,2,14423
CroDoc,2,689.22,2,14423
cgy4ever,1,872.91,3,14423
mehas,2,676.31,3,14423
rng_58,1,842.08,4,14423
winardi,2,644.07,4,14423
lyrically,1,753.26,5,14423
kelltrick,2,638.85,5,14423
jialin,1,698.34,1,14245
lg5293,2,1470.62,1,14245
lyrically,1,640.2,2,14245
jimison,2,1437.67,2,14245
Petr,1,603.59,3,14245
vector9x,2,1434.4,3,14245
Eryx,1,561.87,4,14245
Alireza.bh,2,1275.83,4,14245
Egor,1,549.58,5,14245
yasu0207,2,1258.59,5,14245
Petr,1,1130.33,1,14424
shiftless,2,1402.53,1,14424
ploh,1,1118.96,2,14424
sh19910711,2,670.61,2,14424
Jedi_Knight,1,1107.47,3,14424
nightmie,2,664.18,3,14424
UdH-WiNGeR,1,750.56,4,14424
Sanya_M,2,629.73,4,14424
liympanda,1,722.5,5,14424
Sedols,2,624.18,5,14424
Petr,1,1158.77,1,14422
Peral,2,790.9,1,14422
cafelier,1,699.27,2,14422
EFuzzy,2,590.58,2,14422
RAVEman,1,639.67,3,14422
Alpha001,2,581.18,3,14422
LayCurse,1,571.56,4,14422
piotrr90,2,547.08,4,14422
ktuan,1,569.71,5,14422
Towhid,2,525.33,5,14422
ACRush,1,1623.74,1,14425
cypress_wx,2,1381.73,1,14425
pieguy,1,1515.23,2,14425
Sevenkplus,2,1324.59,2,14425
UdH-WiNGeR,1,1246.53,3,14425
1010,2,1078.12,3,14425
liympanda,1,1244.35,4,14425
naiveAlgorist,2,759.22,4,14425
Smylic,1,1161.79,5,14425
rares.buhai,2,753.69,5,14425
Petr,1,1189.98,1,14426
HDU_Lost,2,1643.42,1,14426
ACRush,1,1120.15,2,14426
A.I,2,1337.93,2,14426
tomek,1,965.34,3,14426
lasten,2,1308.84,3,14426
ainu7,1,661.2,4,14426
huyuanming11,2,1305.66,4,14426
exod40,1,617.81,5,14426
z-unit,2,1285.21,5,14426
wata,1,1595.32,1,14239
asi1024,2,1229.54,1,14239
vlad89,1,1534.09,2,14239
megaterik,2,1055.43,3,14239
LayCurse,1,1501.81,3,14239
rishi_iiith,2,1002.93,4,14239
dolphinigle,1,1489.41,4,14239
bitek,2,867.57,5,14239
RAVEman,1,1451.68,5,14239
hrkksym,2,822.9,6,14239
tourist,1,1540.27,1,14427
xiaowuc1,2,1593.01,1,14427
ACRush,1,1457.1,2,14427
PS_(NULP),2,1530.07,2,14427
rng_58,1,1414.58,3,14427
gmunkhbaatarmn,2,1490.06,3,14427
ainu7,1,1292.67,4,14427
naonao1234,2,1452.91,4,14427
Petr,1,1277.0,5,14427
Tutuu,2,1430.12,5,14427
Petr,1,1405.1,1,14428
gxxlovegxx,2,1793.13,1,14428
JongMan,1,1286.52,2,14428
xiewenlei1988,2,1499.59,2,14428
wata,1,1230.31,3,14428
cyph1e,2,1456.36,3,14428
exod40,1,1227.28,4,14428
ml050804,2,1450.22,4,14428
RRx,1,1079.41,5,14428
marcinekb,2,1445.1,5,14428
Petr,1,1247.39,1,14430
picpp,2,1385.57,1,14430
rng_58,1,837.92,2,14430
ShiningFancyRay,2,1325.07,2,14430
zhouerjin,1,794.33,3,14430
ifsmirnov,2,1221.72,3,14430
UdH-WiNGeR,1,780.5,4,14430
marschenly,2,1093.07,5,14430
lukasP,1,765.82,5,14430
Ikhouvanjou,2,1092.34,6,14430
Egor,1,748.63,1,14432
dreamoon,2,1443.65,2,14432
tourist,1,727.28,2,14432
Migi32,2,1391.72,3,14432
bmerry,1,685.57,3,14432
tkcn,2,1377.68,4,14432
rng_58,1,685.2,4,14432
ariacas,2,1342.75,5,14432
exod40,1,683.7,5,14432
Lanzaa,2,1325.16,6,14432
Petr,1,1472.25,1,14429
I_L_P,2,1143.91,1,14429
tourist,1,1319.94,2,14429
AcceptCrazy,2,980.13,2,14429
Egor,1,873.25,3,14429
baukaman,2,695.23,3,14429
rudradevbasak,1,749.13,4,14429
monyura,2,674.62,4,14429
neal_wu,1,677.74,5,14429
travm12,2,643.1,5,14429
Petr,1,1089.26,1,14431
Goldiceage,2,1527.77,1,14431
neal_wu,1,992.84,2,14431
xptree,2,1440.18,2,14431
lqp18_31,1,961.86,3,14431
littlesheep2010,2,1419.19,3,14431
