status,solution_id,match_id,language,problem_id
Success,22221928,13749,Java,10463
Success,22693771,13749,C++,10469
Success,22697731,13749,Java,10469
Success,7442498,13764,C++,10401
Success,22221928,13764,Java,10401
Success,22221928,13765,Java,10422
Success,10678807,13747,C#,10382
Success,15600311,13803,C#,10356
Success,22694769,13803,C++,10027
Success,22693515,13747,C#,10408
Success,22269671,13803,C#,10396
Success,20902836,13803,C#,10355
Success,10574855,13747,Java,10384
Success,22074135,13803,C++,10355
Success,20785040,13747,C#,10395
Success,16058913,13803,C#,10360
Success,10574855,13763,C#,7814
Success,10574855,13762,C#,10370
Success,10574855,13763,C#,10314
Success,10574855,13762,C#,8766
Success,10574855,13761,C#,10188
Success,10574855,13763,C#,10319
Success,10574855,13699,C#,10369
Success,7446789,13699,C++,10369
Success,15805598,13699,Java,10369
Success,251074,13761,C++,10188
Success,7452866,13761,Java,10188
Success,19849563,13763,C++,10314
Success,22629087,13762,C++,10370
Success,22221928,13763,Java,10314
Success,21971539,13762,Java,10370
Success,8394868,13762,C++,8766
Success,22221928,13762,Java,8766
Success,15657561,13763,C++,7814
Success,21971539,13763,Java,7814
Success,22748595,13803,C++,10360
Success,22687111,13803,Java,10360
Success,10574855,13803,Java,10355
Success,19849563,13763,C++,10319
Success,22780732,13747,C++,10395
Success,22746012,13803,C++,10396
Success,22772052,13803,Java,10396
Success,22750962,13747,Java,10395
Success,7446789,13747,C++,10382
Success,22717415,13747,Java,10408
Success,20557229,13803,Java,10027
Success,22653720,13747,C++,10408
Success,10574855,13747,Java,10382
Success,8394868,13803,C++,10356
Success,10574855,13803,Java,10356
Success,10574855,13762,C#,10316
Success,251074,13762,C++,10316
Success,307060,13699,C++,10232
Success,21971539,13762,Java,10316
Success,22763069,13699,VB,10233
Success,22747745,13699,Java,10235
Success,10574855,13761,C#,10256
Success,10574855,13699,C#,10231
Success,10574855,13760,C#,10333
Success,15781032,13757,VB,10330
Success,15781230,13759,VB,10241
Success,8355516,13760,C++,10103
Success,15781230,13759,VB,10335
Success,10574855,13759,C#,10241
Success,15600311,13761,C#,10361
Success,10574855,13760,C#,10325
Success,10574855,13698,C#,10341
Success,19849563,13759,C++,10241
Success,22714770,13759,Java,10241
Success,19849563,13759,C++,10335
Success,10574855,13759,C#,10335
Success,10678807,13757,C#,10330
Success,7452866,13759,Java,10335
Success,14767863,13757,C++,10330
Success,22714770,13757,Java,10330
Success,19849563,13698,C++,10341
Success,22641345,13761,Java,10361
Success,7311097,13760,Java,10333
Success,7452866,13761,Java,10256
Success,22716715,13760,C++,10333
Success,10597114,13761,C++,10361
Success,15881985,13698,Java,10341
Success,20463878,13699,C++,10231
Success,22269671,13699,C#,10233
Success,19849563,13760,C++,10325
Success,22689544,13760,Java,10103
Success,11829284,13760,Java,10325
Success,22689544,13699,Java,10231
Success,21684580,13699,C++,10233
Success,15391415,13699,Java,10233
Success,19849563,13759,C++,10317
Success,10574855,13698,C#,10337
Success,10574855,13759,C#,10317
Success,22753197,13698,C++,10342
Success,8513659,13757,C#,10329
Success,22683060,13698,VB,10343
Success,11818890,13742,C#,10187
Success,22690752,13758,VB,10331
Success,15781230,13758,VB,8693
Success,107835,13758,C#,10326
Success,22693515,13742,C#,8004
Success,22728556,13697,C++,10243
Success,284038,13757,C#,10324
Success,10574855,13697,C#,10275
Success,10574855,13696,C#,10268
Success,10574855,13697,C#,8702
Success,260828,13742,C#,7952
Success,7463124,13742,VB,7952
Success,22759239,13742,C++,7952
Success,22717703,13742,Java,7952
Success,7459080,13697,C++,10275
Success,272072,13697,C++,8702
Success,21170029,13697,Java,10275
Success,20315020,13696,C++,10268
Success,15805598,13697,Java,8702
Success,22653481,13696,Java,10268
Success,22653358,13757,C++,10324
Success,22641345,13757,Java,10324
Success,22755662,13697,Java,10243
Success,22659963,13742,C++,8004
Success,15179224,13742,Java,8004
Success,144400,13758,C++,10326
Success,303882,13758,Java,10326
Success,10178718,13758,C#,10331
Success,22658895,13758,Java,10331
Success,15179224,13742,Java,10187
Success,22695296,13742,C++,10187
Success,22724565,13758,C++,10331
Success,16063200,13757,C++,10329
Success,22641658,13758,Java,8693
Success,11992157,13757,Java,10329
Success,107835,13758,C#,8693
Success,22726804,13698,C#,10343
Success,15110154,13698,C++,10343
Success,19849563,13698,C++,10337
Success,22765766,13758,C++,8693
Success,22736320,13698,Java,10343
Success,15094447,13759,Java,10317
Success,22221928,13698,Java,10337
Success,7463124,13697,VB,10294
Success,22770094,13697,C#,10294
Success,10574855,13697,C#,10229
Success,11955233,13695,C++,10009
Success,10574855,13696,C#,10265
Success,10574855,13696,C#,10266
Success,10574855,13695,C#,10195
Success,15600311,13694,C#,10153
Success,22717827,13695,VB,10007
Success,10574855,13695,C#,10191
Success,7459080,13695,C++,10191
Success,22689544,13695,Java,10191
Success,22663192,13695,C#,10007
Success,22673753,13695,C++,10007
Success,22687483,13695,Java,10007
Success,22689544,13695,Java,10195
Success,22678228,13695,C++,10195
Success,8527113,13694,C++,10153
Success,22654879,13694,Java,10153
Success,22733480,13696,C++,10265
Success,22731949,13697,Java,10294
Success,22680804,13697,C++,10294
Success,19849563,13696,C++,10266
Success,11992157,13695,Java,10009
Success,7452866,13696,Java,10266
Success,306707,13695,C++,10013
Success,22689544,13697,Java,10229
Success,16058913,13522,C#,10261
Success,22711493,13522,C++,10261
Success,272072,13697,C++,10229
Success,10430851,13522,Java,10261
Success,22683060,13694,VB,10295
Success,19849563,13678,C++,8461
Success,22766988,13694,C++,9873
Success,11948829,13522,C#,10257
Success,15600311,13694,C#,10178
Success,22627586,13694,C++,10178
Success,15600311,13694,C#,10154
Success,7390467,13694,C++,10154
Success,10574855,13694,Java,10154
Success,10574855,13694,Java,10178
Success,15110154,13522,C++,10257
Success,22752110,13522,Java,10257
Success,22663192,13694,C#,10295
Success,22735928,13694,C++,10295
Success,20539063,13694,Java,10295
Success,22683060,13522,VB,10281
Success,22645503,13521,C#,8376
Success,10574855,13522,C#,10259
Success,10574855,13521,C#,9921
Success,22706081,13521,C++,8376
Success,20105072,13521,C++,7583
Success,10574855,13522,C#,10258
Success,8394868,13521,C++,9887
Success,10574855,13522,C#,10171
Success,10574855,13521,C#,10138
Success,22700109,13677,C#,8704
Success,22677774,13678,Java,9800
Success,22676722,13678,C++,9800
Success,22700109,13678,C#,9800
Success,22700424,13678,Java,9759
Success,15206296,13678,C++,9759
Success,19849563,13520,C++,8729
Success,22689544,13520,Java,8729
Success,8394868,13521,C++,10138
Success,15881985,13521,Java,10138
Success,19849563,13677,C++,8704
Success,22762408,13677,Java,8704
Success,19849563,13677,C++,8448
Success,22721066,13677,Java,8448
Success,22723672,13522,C++,10171
Success,15881985,13522,Java,10171
Success,22689544,13521,Java,9887
Success,22504795,13522,C++,10258
Success,15881985,13522,Java,10258
Success,22653798,13521,Java,7583
Success,20036294,13521,C++,9921
Success,22627975,13521,Java,9921
Success,22051338,13522,C++,10259
Success,22757798,13521,Java,8376
Success,7213681,13522,Java,10259
Success,22711493,13522,C++,10281
Success,22723100,13522,Java,10281
Success,22744138,13522,C#,10281
Success,22700109,13677,C#,7995
Success,19849563,13677,C++,7995
Success,15180452,13520,VB,10251
Success,10574855,13520,C#,8560
Success,10574855,13520,C#,10246
Success,10574855,13518,C#,9984
Success,22764866,13676,C#,7783
Success,22700109,13676,C#,7748
Success,22695563,13676,C++,7746
Success,22764836,13675,C#,7305
Success,10574855,13519,C#,10184
Success,22755384,13675,C++,7305
Success,22763394,13675,C#,7310
Success,22707084,13675,C++,7310
Success,22728160,13675,Java,7310
Success,11829284,13519,Java,10184
Success,22630219,13519,C++,10184
Success,19929536,13676,Java,7746
Success,22680787,13675,Java,7305
Success,22755384,13676,C++,7748
Success,19929536,13676,Java,7748
Success,22709408,13676,C++,7783
Success,19929536,13676,Java,7783
Success,20463878,13518,C++,9984
Success,15805598,13518,Java,9984
