date,href,name
2004.09.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5878,TCO04 Round 1
2004.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5877,TCO04 Qual 5
2004.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5876,TCO04 Qual 4
2004.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5875,TCO04 Qual 3
2004.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5874,TCO04 Qual 2
2004.09.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5873,TCO04 Qual 1
2004.09.01,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5856,SRM 210
2004.08.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5855,SRM 209
2004.08.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5854,SRM 208
2004.08.10,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5853,SRM 207
2004.08.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5852,SRM 206
2004.07.31,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5851,SRM 205
2004.07.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5850,SRM 204
2004.07.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5849,SRM 203
2004.07.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5848,SRM 202
2004.06.29,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5872,SRM 201
2004.06.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5075,SRM 200
2004.06.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5074,SRM 199
2004.06.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5073,SRM 198
2004.06.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5072,SRM 197
2004.05.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5071,SRM 196
2004.05.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5070,SRM 195
2004.05.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5069,SRM 194
2004.05.05,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5068,SRM 193
2004.04.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4780,SRM 192
2004.04.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4775,SRM 191
2004.04.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5080,TCCC '04 Finals
