status,solution_id,match_id,language,problem_id
Success,22747688,13528,Java,10111
Success,22741042,13531,Java,7591
Success,22675937,13529,Java,10042
Success,22681523,13531,Java,8002
Success,22741042,13531,Java,7731
Success,22675094,13523,C++,9946
Success,22696982,13523,C++,9748
Success,22716859,13524,VB,9955
Success,22663117,13486,C++,9804
Success,22664612,13486,C#,9818
Success,22742719,13486,C#,9803
Success,22664612,13483,C#,9772
Success,22716859,13484,VB,7920
Success,21761885,13484,C++,7858
Success,22665228,13483,C#,9769
Success,21642989,13485,C++,9730
Success,22263204,13483,C++,9771
Success,22661554,12046,C#,8723
Success,22628118,12046,C++,8713
Success,20812309,12046,C++,8712
Success,22697869,11150,Java,8445
Success,11972352,11150,C++,8563
Success,22697869,11150,Java,8563
Success,22661554,11150,C#,8445
Success,22661554,11150,C#,8563
Success,20812309,11150,C++,8445
Success,22697869,12046,Java,8723
Success,20812309,12046,C++,8723
Success,22675937,12046,Java,8713
Success,22675937,13483,Java,9771
Success,22263204,13483,C++,9769
Success,22717415,13483,Java,9769
Success,22000369,13485,Java,9730
Success,22694437,13484,C++,7920
Success,22726708,13484,Java,7920
Success,22694215,13484,Java,7858
Success,22723100,13483,Java,9772
Success,22732328,13483,C++,9772
Success,22696982,13486,C++,9818
Success,22675937,13486,Java,9818
Success,22696982,13486,C++,9803
Success,22626880,13524,C++,9955
Success,22717415,13524,Java,9955
Success,22675937,13486,Java,9803
Success,22681523,13523,Java,9748
Success,22717415,13523,Java,9946
Success,22661554,11151,C#,8554
Success,11972352,11151,C++,8554
Success,22285847,11150,C++,8447
Success,15604398,11151,C++,8553
Success,22705600,11151,VB,8580
Success,22705600,11153,VB,8197
Success,11972352,11153,C++,8213
Success,22661554,10809,C#,8279
Success,22676038,10809,C#,8313
Success,22705600,11153,VB,8195
Success,13401907,10807,C++,8140
Success,22647753,10807,C++,8265
Success,22704530,10807,C#,8456
Success,22705600,10803,VB,8402
Success,22705600,10803,VB,8295
Success,22661890,10801,C++,8109
Success,22661554,10809,C#,8312
Success,22627975,10801,Java,8109
Success,22661554,10803,C#,8295
Success,22627975,10803,Java,8295
Success,11972352,10803,C++,8295
Success,22707789,10803,C#,8402
Success,22631114,10803,C++,8402
Success,21868978,10803,Java,8402
Success,20036294,10807,C++,8456
Success,21868978,10807,Java,8456
Success,22631114,10809,C++,8312
Success,22675937,10809,Java,8312
Success,22697869,10807,Java,8140
Success,22628118,10809,C++,8313
Success,22675937,10809,Java,8313
Success,22631114,11153,C++,8195
Success,20246344,10809,Java,8279
Success,14768757,10809,C++,8279
Success,22677097,11153,Java,8213
Success,22677097,11153,Java,8195
Success,22661554,11151,C#,8580
Success,20812309,11151,C++,8580
Success,22661554,11153,C#,8197
Success,22697869,11151,Java,8580
Success,12012913,11153,C++,8197
Success,20246344,11153,Java,8197
Success,15685244,11151,Java,8554
Success,22697869,11151,Java,8553
Success,22658843,10803,C++,7833
Success,22705600,10801,VB,8239
Success,22705600,10801,VB,8108
Success,22705600,10799,VB,8141
Success,22705600,10799,VB,8096
